X,CH1,
Second,Volt,
-7.41600e-06,-5.95e-02,
-7.41500e-06,-6.20e-02,
-7.41400e-06,-6.94e-02,
-7.41300e-06,-8.43e-02,
-7.41200e-06,-9.42e-02,
-7.41100e-06,-1.04e-01,
-7.41000e-06,-1.04e-01,
-7.40900e-06,-9.92e-02,
-7.40800e-06,-9.67e-02,
-7.40700e-06,-8.68e-02,
-7.40600e-06,-8.18e-02,
-7.40500e-06,-8.43e-02,
-7.40400e-06,-8.68e-02,
-7.40300e-06,-9.92e-02,
-7.40200e-06,-1.07e-01,
-7.40100e-06,-1.12e-01,
-7.40000e-06,-1.04e-01,
-7.39900e-06,-9.42e-02,
-7.39800e-06,-9.17e-02,
